Business Name,Category,Address,Phone,Website,Source Query,Date Added
SWISH DENTAL DOWNTOWN,General Dentist,"201 W 5TH ST STE 175AUSTIN, TX 78701",(512) 713-1099,http://downtown@swishsmiles.com,"dentists in Austin, TX",2026-07-30
PRIMAVERA DENTAL GROUP,General Dentist,"815 BRAZOS ST.AUSTIN, TX 78701",(512) 298-1623,http://downtown@primaveradentalgroup.com,"dentists in Austin, TX",2026-07-30
ENAMEL DENTISTRY SALTILLO PLLC,General Dentist,"901 E 5TH ST STE 170AUSTIN, TX 78702",(512) 649-7510,http://drjanequintana@enameldentistry.com,"dentists in Austin, TX",2026-07-30
BLVD DENTISTRY,General Dentist,"1011 W 5TH ST STE 120AUSTIN, TX 78703",(512) 617-0101,http://blvd5thstreet@mb2dental.com,"dentists in Austin, TX",2026-07-30
HIGH POINT DENTISTRY SOCO PLLC,General Dentist,"515 S CONGRESS AVE STE 107AUSTIN, TX 78704",(512) 448-9669,http://soco@highpointsmiles.com,"dentists in Austin, TX",2026-07-30
SETON ORAL & MAXILLOFACIAL SURGERY,Oral Surgeon,"1500 RED RIVER STAUSTIN, TX 78701",(512) 992-1378,http://kybarra@midtownomsatx.com,"dentists in Austin, TX",2026-07-30
BREEZE DENTAL E 5TH PLLC,General Dentist,"1300 E 5TH ST STE CAUSTIN, TX 78702",(512) 535-3888,http://breeze5th@breezeoralcare.com,"dentists in Austin, TX",2026-07-30
FOREST FAMILY DENTISTRY EASTSIDE,General Dentist,"31 NAVASOTA ST UNIT 130AUSTIN, TX 78702",(512) 885-3424,http://info@forestfamily.com,"dentists in Austin, TX",2026-07-30
Swish Dental - Alamo Heights,Dental Care,"6011 Broadway, STE 100, San Antonio, TX 78209",210-764-6787,https://www.swishsmiles.com/schedule-appointment/alamo-heights,"dentists in Austin, TX",2026-07-30
Swish Dental - Bee Cave,Dental Care,"3944 S FM 620 Bldg 3, Suite 140, Bee Cave, TX 78738",512-653-3372,https://www.swishsmiles.com/schedule-appointment/bee-cave,"dentists in Austin, TX",2026-07-30
Swish Dental - Brodie Lane,Dental Care,"8916 Brodie Ln Suite 400, Austin, TX 78748",512-520-5603,https://www.swishsmiles.com/schedule-appointment/brodie-lane-south-austin-swish-dental,"dentists in Austin, TX",2026-07-30
Swish Dental - Bull Creek,Dental Care,"7300 Ranch Rd 2222, Suite 216, Austin, TX 78730",512-343-9000,https://www.swishsmiles.com/schedule-appointment/bullcreek-nw-austin-swish-dental,"dentists in Austin, TX",2026-07-30
Swish Dental - Cedar Park,Dental Care,"12160 W Parmer Ln. Suite 110, Cedar Park, TX 78613",512-866-3184,https://www.swishsmiles.com/schedule-appointment/cedar-park,"dentists in Austin, TX",2026-07-30
Swish Dental - Domain,Dental Care,"3310 W Braker Ln Bldg 1-100, Austin, TX 78758",512-617-0110,https://www.swishsmiles.com/schedule-appointment/domain-north-austin-dentist,"dentists in Austin, TX",2026-07-30
Swish Dental - Downtown,Dental Care,"201 W 5th St Ste 175, Austin, TX 78701",512-713-1099,https://www.swishsmiles.com/schedule-appointment/downtown,"dentists in Austin, TX",2026-07-30
Swish Dental - East 4th,Dental Care,"1800 E 4th St. Unit 136, Austin, TX 78702",512-961-8817,https://www.swishsmiles.com/schedule-appointment/east-austin-swish-dental,"dentists in Austin, TX",2026-07-30
Swish Dental - East Village / Manor,Dental Care,"3500 E Parmer Ln. Suite 6200, Austin, TX 78754",512-410-0643,https://www.swishsmiles.com/schedule-appointment/east-village-manor,"dentists in Austin, TX",2026-07-30
Swish Dental - Houston Heights,Dental Care,"1324 N Shepherd Dr Ste 200, Houston, TX 77008",281-220-8321,https://www.swishsmiles.com/schedule-appointment/houston-heights,"dentists in Austin, TX",2026-07-30
Swish Dental - Hutto,Dental Care,"111 Co Op Blvd. Building 200, Suite 202, Hutto, TX 78634",512-642-5060,https://www.swishsmiles.com/schedule-appointment/hutto,"dentists in Austin, TX",2026-07-30
Swish Dental - Kirby,Dental Care,"5333 Kirby Drive, STE 110, Houston, TX 77005",281-721-9918,https://www.swishsmiles.com/schedule-appointment/houston-kirby,"dentists in Austin, TX",2026-07-30
