Business Name,Category,Address,Phone,Website,Source Query,Date Added
SWISH DENTAL DOWNTOWN,General Dentist,"201 W 5TH ST STE 175 AUSTIN, TX 78701",(512) 713-1099,DOWNTOWN@SWISHSMILES.COM,"dentists in Austin, TX",2026-07-09
PRIMAVERA DENTAL GROUP,General Dentist,"815 BRAZOS ST AUSTIN, TX 78701",(512) 298-1623,DOWNTOWN@PRIMAVERADENTALGROUP.COM,"dentists in Austin, TX",2026-07-09
ENAMEL DENTISTRY SALTILLO PLLC,General Dentist,"901 E 5TH ST STE 170 AUSTIN, TX 78702",(512) 649-7510,DRJANEQUINTANA@ENAMELDENTISTRY.COM,"dentists in Austin, TX",2026-07-09
BLVD DENTISTRY,General Dentist,"1011 W 5TH ST STE 120 AUSTIN, TX 78703",(512) 617-0101,BLVD5THSTREET@MB2DENTAL.COM,"dentists in Austin, TX",2026-07-09
HIGH POINT DENTISTRY SOCO PLLC,General Dentist,"515 S CONGRESS AVE STE 107 AUSTIN, TX 78704",(512) 448-9669,SOCO@HIGHPOINTSMILES.COM,"dentists in Austin, TX",2026-07-09
SETON ORAL & MAXILLOFACIAL SURGERY,Oral Surgeon,"1500 RED RIVER ST AUSTIN, TX 78701",(512) 992-1378,KYBARRA@MIDTOWNOMSATX.COM,"dentists in Austin, TX",2026-07-09
EGGLESTON ORAL & FACIAL SURGERY,Oral Surgeon,"1209 W 5TH ST STE 100 AUSTIN, TX 78703",(512) 391-0011,DR.TODD.EGGLESTON@GMAIL.COM,"dentists in Austin, TX",2026-07-09
SWISH DENTAL EAST,General Dentist,"1800 E 4TH ST UNIT 136 AUSTIN, TX 78702",(512) 961-8817,EAST@SWISHSMILES.COM,"dentists in Austin, TX",2026-07-09
FOREST FAMILY DENTISTRY EASTSIDE,General Dentist,"31 NAVASOTA ST UNIT 130 AUSTIN, TX 78702",(512) 885-3424,INFO@FORESTFAMILY.COM,"dentists in Austin, TX",2026-07-09
Tech Ridge Dental,Dental Office,"12400 N. Interstate 35, Ste A131, Austin, TX 78753",512-821-2394,https://www.techridgedental.com/office.html,"dentists in Austin, TX",2026-07-09
Alamo Heights,Dental,"6011 Broadway STE 100, San Antonio, TX 78209",210-764-6787,https://www.swishsmiles.com/schedule-appointment/alamo-heights,"dentists in Austin, TX",2026-07-09
Bee Cave,Dental,"3944 S FM 620 Bldg 3, Suite 140, Bee Cave, TX 78738",512-653-3372,https://www.swishsmiles.com/schedule-appointment/bee-cave,"dentists in Austin, TX",2026-07-09
Boulder Lane,Dental,"Austin, TX ",512-362-7130,https://www.swishsmiles.com/schedule-appointment/boulder-lane-nw-austin-swish-dental,"dentists in Austin, TX",2026-07-09
Brodie Lane,Dental,"8916 Brodie Ln Suite 400, Austin, TX 78748",512-520-5603,https://www.swishsmiles.com/schedule-appointment/brodie-lane-south-austin-swish-dental,"dentists in Austin, TX",2026-07-09
Bull Creek,Dental,"7300 Ranch Rd 2222, Suite 216, Austin, TX 78730",512-343-9000,https://www.swishsmiles.com/schedule-appointment/bullcreek-nw-austin-swish-dental,"dentists in Austin, TX",2026-07-09
Cedar Park,Dental,"12160 W Parmer Ln. Suite 110, Cedar Park, TX 78613",512-866-3184,https://www.swishsmiles.com/schedule-appointment/cedar-park,"dentists in Austin, TX",2026-07-09
Domain,Dental,"3310 W Braker Ln Bldg 1-100, Austin, TX 78758",512-617-0110,https://www.swishsmiles.com/schedule-appointment/domain-north-austin-dentist,"dentists in Austin, TX",2026-07-09
Downtown,Dental,"201 W 5th St Ste 175, Austin, TX 78701",512-713-1099,https://www.swishsmiles.com/schedule-appointment/downtown,"dentists in Austin, TX",2026-07-09
East 4th,Dental,"1800 E 4th St. Unit 136, Austin TX 78702",512-961-8817,https://www.swishsmiles.com/schedule-appointment/east-austin-swish-dental,"dentists in Austin, TX",2026-07-09
East Village / Manor,Dental,"3500 E Parmer Ln. Suite 6200, Austin, TX 78754",512-410-0643,https://www.swishsmiles.com/schedule-appointment/east-village-manor,"dentists in Austin, TX",2026-07-09
