Business Name,Category,Address,Phone,Website,Source Query,Date Added
SWISH DENTAL DOWNTOWN,General Dentist,"201 W 5TH ST STE 175 AUSTIN, TX 78701",(512) 713-1099,[DOWNTOWN@SWISHSMILES.COM](mailto:DOWNTOWN@SWISHSMILES.COM),"dentists in Austin, TX",2026-07-08
PRIMAVERA DENTAL GROUP,Prosthodontist,"815 BRAZOS ST. AUSTIN, TX 78701",(512) 298-1623,[DOWNTOWN@PRIMAVERADENTALGROUP.COM](mailto:DOWNTOWN@PRIMAVERADENTALGROUP.COM),"dentists in Austin, TX",2026-07-08
ENAMEL DENTISTRY SALTILLO PLLC,General Dentist,"901 E 5TH ST STE 170 AUSTIN, TX 78702",(512) 649-7510,[DRJANEQUINTANA@ENAMELDENTISTRY.COM](mailto:DRJANEQUINTANA@ENAMELDENTISTRY.COM),"dentists in Austin, TX",2026-07-08
BLVD DENTISTRY,General Dentist,"1011 W 5TH ST STE 120 AUSTIN, TX 78703",(512) 617-0101,[BLVD5THSTREET@MB2DENTAL.COM](mailto:BLVD5THSTREET@MB2DENTAL.COM),"dentists in Austin, TX",2026-07-08
HIGH POINT DENTISTRY SOCO PLLC,General Dentist,"515 S CONGRESS AVE STE 107 AUSTIN, TX 78704",(512) 448-9669,[SOCO@HIGHPOINTSMILES.COM](mailto:SOCO@HIGHPOINTSMILES.COM),"dentists in Austin, TX",2026-07-08
SETON ORAL & MAXILLOFACIAL SURGERY,Oral Surgeon,"1500 RED RIVER ST AUSTIN, TX 78701",(512) 992-1378,[KYBARRA@MIDTOWNOMSATX.COM](mailto:KYBARRA@MIDTOWNOMSATX.COM),"dentists in Austin, TX",2026-07-08
EGGLESTON ORAL & FACIAL SURGERY,Oral Surgeon,"1209 W 5TH ST STE 100 AUSTIN, TX 78703",(512) 391-0011,[DR.TODD.EGGLESTON@GMAIL.COM](mailto:DR.TODD.EGGLESTON@GMAIL.COM),"dentists in Austin, TX",2026-07-08
FOREST FAMILY DENTISTRY EASTSIDE,General Dentist,"31 NAVASOTA ST UNIT 130 AUSTIN, TX 78702",(512) 885-3424,[INFO@FORESTFAMILY.COM](mailto:INFO@FORESTFAMILY.COM),"dentists in Austin, TX",2026-07-08
SWISH DENTAL EAST,General Dentist,"1800 E 4TH ST UNIT 136 AUSTIN, TX 78702",(512) 961-8817,[EAST@SWISHSMILES.COM](mailto:EAST@SWISHSMILES.COM),"dentists in Austin, TX",2026-07-08
Tech Ridge Dental,Dental Office,"12400 N. Interstate 35, Ste A131, Austin, TX 78753",512-821-2394,https://www.techridgedental.com/office.html,"dentists in Austin, TX",2026-07-08
ASAP Vet,Veterinary Clinic,"Near the southwest corner of I-35 and Parmer Lane, Austin, TX",,,"dentists in Austin, TX",2026-07-08
Kingdom Barbershop,Barbershop,"Near the southwest corner of I-35 and Parmer Lane, Austin, TX",,,"dentists in Austin, TX",2026-07-08
Tsukimi Sushi,Sushi Restaurant,"Near the southwest corner of I-35 and Parmer Lane, Austin, TX",,,"dentists in Austin, TX",2026-07-08
Alamo Heights,Dental,"6011 Broadway STE 100, San Antonio, TX 78209",210-764-6787,https://www.swishsmiles.com/schedule-appointment/alamo-heights,"dentists in Austin, TX",2026-07-08
Bee Cave,Dental,"3944 S FM 620 Bldg 3, Suite 140, Bee Cave, TX 78738",512-653-3372,https://www.swishsmiles.com/schedule-appointment/bee-cave,"dentists in Austin, TX",2026-07-08
Boulder Lane,Dental,Boulder Lane,512-362-7130,https://www.swishsmiles.com/schedule-appointment/boulder-lane-nw-austin-swish-dental,"dentists in Austin, TX",2026-07-08
Brodie Lane,Dental,"8916 Brodie Ln Suite 400, Austin, TX 78748",512-520-5603,https://www.swishsmiles.com/schedule-appointment/brodie-lane-south-austin-swish-dental,"dentists in Austin, TX",2026-07-08
Bull Creek,Dental,"7300 Ranch Rd 2222, Suite 216, Austin, TX 78730",512-343-9000,https://www.swishsmiles.com/schedule-appointment/bullcreek-nw-austin-swish-dental,"dentists in Austin, TX",2026-07-08
Cedar Park,Dental,"12160 W Parmer Ln. Suite 110, Cedar Park, TX 78613",512-866-3184,https://www.swishsmiles.com/schedule-appointment/cedar-park,"dentists in Austin, TX",2026-07-08
Domain,Dental,"3310 W Braker Ln Bldg 1-100, Austin, TX 78758",512-617-0110,https://www.swishsmiles.com/schedule-appointment/domain-north-austin-dentist,"dentists in Austin, TX",2026-07-08
