Business Name,Category,Address,Phone,Website,Source Query,Date Added
SWISH DENTAL DOWNTOWN,General Dentist,"201 W 5TH ST STE 175, AUSTIN, TX 78701",(512) 713-1099,http://downtown@swishsmiles.com,"dentists in Austin, TX",2026-07-16
Swish Dental - Alamo Heights,Dentist,"6011 Broadway STE 100, San Antonio, TX 78209",210-764-6787,https://www.swishsmiles.com/schedule-appointment/alamo-heights,"dentists in Austin, TX",2026-07-16
Swish Dental - Bee Cave,Dentist,"3944 S FM 620 Bldg 3, Suite 140, Bee Cave, TX 78738",512-653-3372,https://www.swishsmiles.com/schedule-appointment/bee-cave,"dentists in Austin, TX",2026-07-16
Swish Dental - Boulder Lane,Dentist,"Boulder Lane, Austin, TX 78730",512-362-7130,https://www.swishsmiles.com/schedule-appointment/boulder-lane-nw-austin-swish-dental,"dentists in Austin, TX",2026-07-16
Swish Dental - Brodie Lane,Dentist,"8916 Brodie Ln Suite 400, Austin, TX 78748",512-520-5603,https://www.swishsmiles.com/schedule-appointment/brodie-lane-south-austin-swish-dental,"dentists in Austin, TX",2026-07-16
Swish Dental - Bull Creek,Dentist,"7300 Ranch Rd 2222, Suite 216, Austin, TX 78730",512-343-9000,https://www.swishsmiles.com/schedule-appointment/bullcreek-nw-austin-swish-dental,"dentists in Austin, TX",2026-07-16
Swish Dental - Cedar Park,Dentist,"12160 W Parmer Ln. Suite 110, Cedar Park, TX 78613",512-866-3184,https://www.swishsmiles.com/schedule-appointment/cedar-park,"dentists in Austin, TX",2026-07-16
Swish Dental - Domain,Dentist,"3310 W Braker Ln Bldg 1-100, Austin, TX 78758",512-617-0110,https://www.swishsmiles.com/schedule-appointment/domain-north-austin-dentist,"dentists in Austin, TX",2026-07-16
Swish Dental - Downtown,Dentist,"201 W 5th St Ste 175, Austin, TX 78701",512-713-1099,https://www.swishsmiles.com/schedule-appointment/downtown,"dentists in Austin, TX",2026-07-16
Swish Dental - East 4th,Dentist,"1800 E 4th St. Unit 136, Austin TX 78702",512-961-8817,https://www.swishsmiles.com/schedule-appointment/east-austin-swish-dental,"dentists in Austin, TX",2026-07-16
Swish Dental - East Village / Manor,Dentist,"3500 E Parmer Ln. Suite 6200, Austin, TX 78754",512-410-0643,https://www.swishsmiles.com/schedule-appointment/east-village-manor,"dentists in Austin, TX",2026-07-16
Swish Dental - Houston Heights,Dentist,"1324 N Shepherd Dr Ste 200, Houston, TX 77008",281-220-8321,https://www.swishsmiles.com/schedule-appointment/houston-heights,"dentists in Austin, TX",2026-07-16
Swish Dental - Hutto,Dentist,"111 Co Op Blvd. Building 200, Suite 202, Hutto, TX 78634",512-642-5060,https://www.swishsmiles.com/schedule-appointment/hutto,"dentists in Austin, TX",2026-07-16
Swish Dental - Kirby,Dentist,"5333 Kirby Drive, STE 110, Houston, TX 77005",281-721-9918,https://www.swishsmiles.com/schedule-appointment/houston-kirby,"dentists in Austin, TX",2026-07-16
Swish Dental - Kyle,Dentist,"5581 Kyle Centre Dr #104, Kyle, TX 78640",512-262-9191,https://www.swishsmiles.com/schedule-appointment/kyle,"dentists in Austin, TX",2026-07-16
Swish Dental - Landmark,Dentist,"5546 N. 1604 W Loop, Suite 140, San Antonio, TX",210-298-6294,https://www.swishsmiles.com/schedule-appointment/landmark,"dentists in Austin, TX",2026-07-16
Swish Dental - Midtown,Dentist,"2204 Austin Street, Suite 100, Houston, TX, 77002",281-721-9901,https://www.swishsmiles.com/schedule-appointment/midtown,"dentists in Austin, TX",2026-07-16
Swish Dental - Montrose,Dentist,"3230 Yoakum Blvd, Houston, TX 77006",281-520-3440,https://www.swishsmiles.com/schedule-appointment/houston-montrose,"dentists in Austin, TX",2026-07-16
Swish Dental - Mueller Alamo,Dentist,"1911 Aldrich St. Suite 135, Austin TX 78723",512-843-7422,https://www.swishsmiles.com/schedule-appointment/mueller-alamo,"dentists in Austin, TX",2026-07-16
Swish Dental - Mueller Family,Dentist,"2604 Aldrich Street, Suite A, Austin TX 78723",512-843-7768,https://www.swishsmiles.com/schedule-appointment/mueller-family-central-austin-dental,"dentists in Austin, TX",2026-07-16
